,host_id,neighbourhood_group,neighbourhood,latitude,longitude,room_type,minimum_nights,number_of_reviews,reviews_per_month,availability_365,neighbourhood_group_le,room_type_le
35507,212857568,Queens,Ozone Park,40.67616,-73.86016,Entire home/apt,4,12,1.38,193,3,0
48824,115528632,Brooklyn,Bedford-Stuyvesant,40.69171,-73.95418,Private room,1,0,,43,1,1
43617,211400652,Staten Island,Arden Heights,40.55762,-74.19626,Entire home/apt,5,1,1.0,55,4,0
13757,53284346,Brooklyn,Park Slope,40.66932,-73.98321,Private room,5,2,0.05,0,1,1
37297,22178020,Manhattan,Chinatown,40.71787,-73.99461,Entire home/apt,3,3,3.0,301,2,0
531,48599,Manhattan,Chelsea,40.74033,-74.00024,Entire home/apt,6,23,0.27,0,2,0
14703,61391963,Manhattan,Kips Bay,40.74053,-73.97906,Entire home/apt,30,7,0.2,312,2,0
33196,196872053,Brooklyn,Brighton Beach,40.57573,-73.96051,Private room,3,16,1.38,175,1,1
5183,19131844,Brooklyn,Bedford-Stuyvesant,40.68237,-73.94811,Entire home/apt,8,17,0.42,0,1,0
4692,16641600,Brooklyn,Sunset Park,40.66294,-73.99675,Entire home/apt,12,8,0.13,7,1,0
30228,12128354,Brooklyn,Williamsburg,40.70744,-73.94681,Private room,1,0,,0,1,1
5384,18260299,Brooklyn,Bushwick,40.69439,-73.90715,Private room,30,7,0.74,92,1,1
46255,220574429,Manhattan,Chelsea,40.74566,-73.99092,Private room,21,2,1.54,332,2,1
35617,210970608,Brooklyn,Crown Heights,40.67061,-73.95023,Entire home/apt,3,11,1.11,280,1,0
42867,239660813,Manhattan,Hell's Kitchen,40.75842,-73.99609,Private room,1,1,0.57,342,2,1
148,72014,Brooklyn,Williamsburg,40.71165,-73.96087,Private room,3,200,1.86,262,1,1
36055,191849342,Brooklyn,Crown Heights,40.67177,-73.95334,Entire home/apt,4,9,1.32,247,1,0
43975,41348157,Manhattan,East Harlem,40.7929,-73.9391,Private room,2,2,2.0,0,2,1
23928,40755122,Brooklyn,Park Slope,40.6704,-73.97432,Entire home/apt,3,105,4.23,72,1,0
28968,19561602,Brooklyn,Bushwick,40.69613,-73.93264,Entire home/apt,5,2,0.11,0,1,0
17687,37413,Brooklyn,Prospect-Lefferts Gardens,40.66047,-73.95445,Entire home/apt,6,3,0.13,12,1,0
37995,225618164,Brooklyn,Gowanus,40.68155,-73.98947,Private room,30,0,,365,1,1
3187,3158364,Queens,Sunnyside,40.73673,-73.92526,Private room,5,70,2.23,250,3,1
11939,1550888,Brooklyn,Bedford-Stuyvesant,40.68061,-73.94996,Entire home/apt,30,3,0.08,355,1,0
6852,14289427,Manhattan,Chinatown,40.71579,-73.99253,Private room,5,8,0.15,318,2,1
2569,7027562,Queens,Queens Village,40.72512,-73.73986,Private room,1,5,0.07,363,3,1
36659,28260018,Queens,Ditmars Steinway,40.77612,-73.90456,Private room,1,63,7.08,80,3,1
1623,15145088,Manhattan,Upper West Side,40.78747,-73.97238,Entire home/apt,30,8,0.1,346,2,0
12838,5814274,Queens,Astoria,40.77254,-73.92853,Entire home/apt,4,0,,0,3,0
10779,634004,Brooklyn,Prospect Heights,40.67835,-73.97074,Entire home/apt,2,80,2.83,105,1,0
47302,263322673,Manhattan,SoHo,40.72546,-74.0008,Private room,14,0,,133,2,1
29619,32304780,Manhattan,Harlem,40.82389,-73.95014,Private room,30,5,0.32,332,2,1
9210,36956206,Brooklyn,Williamsburg,40.71687,-73.94656,Entire home/apt,1,66,1.35,5,1,0
22447,124142417,Brooklyn,Bushwick,40.6877,-73.9159,Entire home/apt,2,113,4.15,6,1,0
44502,6466170,Manhattan,Midtown,40.75514,-73.96773,Private room,60,0,,327,2,1
9501,9403624,Manhattan,Chelsea,40.74482,-73.99917,Entire home/apt,5,13,0.3,4,2,0
6905,15297517,Manhattan,Upper East Side,40.78096,-73.9475,Entire home/apt,4,9,0.19,0,2,0
46332,195389383,Manhattan,Chelsea,40.74318,-73.99987,Entire home/apt,1,2,2.0,325,2,0
43894,274333,Manhattan,Harlem,40.80298,-73.95375,Shared room,1,0,,2,2,2
14698,4829797,Brooklyn,Williamsburg,40.70589,-73.94749,Private room,7,1,0.02,0,1,1
36682,219725282,Brooklyn,Sunset Park,40.66051,-73.99081,Entire home/apt,2,3,0.4,0,1,0
31449,24421834,Brooklyn,Crown Heights,40.67716,-73.93885,Private room,7,0,,0,1,1
2891,5556571,Brooklyn,Williamsburg,40.70617,-73.93761,Shared room,1,34,0.48,75,1,2
1373,3002643,Manhattan,Hell's Kitchen,40.76257,-73.99303,Entire home/apt,3,35,0.42,38,2,0
30242,428643,Manhattan,East Harlem,40.7876,-73.94139,Entire home/apt,3,15,0.92,120,2,0
26041,1020539,Manhattan,East Village,40.7263,-73.98432,Private room,1,2,0.28,0,2,1
3428,10534508,Manhattan,West Village,40.73075,-74.00238,Entire home/apt,45,21,0.31,0,2,0
10584,27362570,Queens,Ridgewood,40.70136,-73.89608,Private room,1,4,0.09,0,3,1
40281,232622663,Brooklyn,Bedford-Stuyvesant,40.68412,-73.9501,Private room,2,3,0.48,0,1,1
17276,30719074,Manhattan,Theater District,40.75927,-73.98592,Private room,7,0,,0,2,1
18570,24898836,Manhattan,Hell's Kitchen,40.75483,-73.99468,Entire home/apt,3,21,0.6,3,2,0
20426,10795846,Manhattan,Upper West Side,40.7892,-73.9734,Private room,1,47,1.5,0,2,1
3129,9702964,Manhattan,East Village,40.72394,-73.98941,Entire home/apt,4,43,0.68,188,2,0
22138,30283594,Manhattan,Upper East Side,40.76138,-73.9598,Entire home/apt,30,1,0.05,336,2,0
22364,117492425,Staten Island,St. George,40.64425,-74.08056,Entire home/apt,4,97,3.71,152,4,0
34143,1330116,Manhattan,Greenwich Village,40.73237,-73.99344,Private room,30,1,0.09,90,2,1
5098,710916,Brooklyn,Crown Heights,40.67541,-73.94408,Entire home/apt,1,233,3.89,295,1,0
35562,55397210,Brooklyn,Bedford-Stuyvesant,40.69714,-73.94897,Entire home/apt,3,7,0.71,9,1,0
23562,10402380,Brooklyn,Prospect Heights,40.67245,-73.96358,Private room,1,144,5.65,0,1,1
17906,57162807,Manhattan,SoHo,40.72178,-73.99742,Entire home/apt,5,1,0.03,0,2,0
4426,1504257,Brooklyn,Williamsburg,40.71756,-73.95579,Entire home/apt,8,23,0.38,297,1,0
40363,234230740,Manhattan,Theater District,40.75638,-73.98834,Entire home/apt,5,0,,0,2,0
46584,23853826,Manhattan,Midtown,40.75144,-73.9709,Entire home/apt,3,1,1.0,334,2,0
13475,51772392,Manhattan,Midtown,40.76039,-73.9736,Private room,1,3,0.16,365,2,1
14692,61391963,Manhattan,Little Italy,40.71885,-73.99572,Entire home/apt,30,6,0.15,342,2,0
7696,5963594,Manhattan,Upper West Side,40.77647,-73.98211,Entire home/apt,1,0,,0,2,0
6803,1292274,Manhattan,Upper East Side,40.78343,-73.94764,Private room,1,51,0.93,88,2,1
11925,43963802,Manhattan,Harlem,40.8228,-73.94567,Entire home/apt,3,46,1.22,325,2,0
39106,181974787,Manhattan,Hell's Kitchen,40.76411,-73.99019,Entire home/apt,1,4,0.61,74,2,0
15765,2838615,Brooklyn,Williamsburg,40.71121,-73.96698,Entire home/apt,3,5,0.13,0,1,0
21177,26420701,Brooklyn,Greenpoint,40.72601,-73.95502,Private room,2,1,0.07,0,1,1
12335,39072477,Manhattan,Roosevelt Island,40.76689,-73.94564,Private room,10,2,0.05,0,2,1
8179,1528333,Brooklyn,Clinton Hill,40.69322,-73.96554,Entire home/apt,2,1,0.03,0,1,0
42615,4037192,Queens,Middle Village,40.72355,-73.87456,Entire home/apt,30,1,0.77,323,3,0
15971,2464187,Staten Island,St. George,40.63834,-74.08291,Private room,1,5,0.14,0,4,1
8661,33622924,Manhattan,Harlem,40.83155,-73.94804,Private room,1,52,1.39,355,2,1
47044,267627839,Manhattan,Midtown,40.75563,-73.96621,Entire home/apt,28,0,,340,2,0
